Timestamp,Device,CO2,Humidity,Light,Motion,Temperature
2019-07-31 23:45:40,A81758FFFE03580A,767,63,5,17,16.1
2019-07-31 23:30:40,A81758FFFE03580A,859,64,5,21,16.6
2019-07-31 23:15:40,A81758FFFE03580A,1418,65,5,22,16.8
2019-07-31 22:45:40,A81758FFFE03580A,1581,65,5,18,17.4
2019-07-31 22:30:40,A81758FFFE03580A,841,61,4,12,17.7
2019-07-31 22:15:40,A81758FFFE03580A,1051,63,5,13,17.9
2019-07-31 22:00:40,A81758FFFE03580A,1317,63,5,17,18.1
2019-07-31 21:30:40,A81758FFFE03580A,1161,60,5,14,18.5
2019-07-31 21:15:40,A81758FFFE03580A,1037,61,5,19,18.8
2019-07-31 21:00:40,A81758FFFE03580A,1215,60,5,18,18.9
2019-07-31 20:45:40,A81758FFFE03580A,817,58,5,21,19.2
2019-07-31 20:00:40,A81758FFFE03580A,613,54,4,21,19.2
2019-07-31 19:45:40,A81758FFFE03580A,627,53,5,24,19.8
2019-07-31 19:30:41,A81758FFFE03580A,764,52,5,19,19.9
2019-07-31 19:15:41,A81758FFFE03580A,891,53,6,21,20.1
2019-07-31 18:30:41,A81758FFFE03580A,755,52,199,20,20.2
2019-07-31 18:15:41,A81758FFFE03580A,700,52,219,25,20.4
2019-07-31 18:00:41,A81758FFFE03580A,703,50,231,15,20.4
2019-07-31 17:45:41,A81758FFFE03580A,852,50,264,9,20.4
2019-07-31 17:30:41,A81758FFFE03580A,912,48,279,14,20.5
2019-07-31 17:00:41,A81758FFFE03580A,848,47,327,11,20.6
2019-07-31 16:45:41,A81758FFFE03580A,547,47,399,19,20.7
2019-07-31 16:30:41,A81758FFFE03580A,488,48,399,20,20.6
2019-07-31 16:15:41,A81758FFFE03580A,643,48,362,17,20.6
2019-07-31 15:45:41,A81758FFFE03580A,580,48,345,17,20.5
2019-07-31 15:30:41,A81758FFFE03580A,569,49,354,14,20.7
2019-07-31 15:15:41,A81758FFFE03580A,661,51,404,10,20.9
2019-07-31 15:00:41,A81758FFFE03580A,542,49,453,14,20.7
2019-07-31 14:45:41,A81758FFFE03580A,587,51,395,18,20.7
2019-07-31 14:30:41,A81758FFFE03580A,1007,53,403,18,20.6
2019-07-31 14:15:42,A81758FFFE03580A,1450,56,375,17,20.6
2019-07-31 14:00:42,A81758FFFE03580A,839,52,416,9,20.4
2019-07-31 13:45:42,A81758FFFE03580A,636,50,403,8,20.2
2019-07-31 13:00:42,A81758FFFE03580A,749,50,405,14,20
2019-07-31 12:45:42,A81758FFFE03580A,567,49,443,15,19.6
2019-07-31 12:30:42,A81758FFFE03580A,574,49,454,7,19.4
2019-07-31 12:15:42,A81758FFFE03580A,534,50,521,7,19.3
2019-07-31 11:30:42,A81758FFFE03580A,693,52,547,13,19.2
2019-07-31 11:15:42,A81758FFFE03580A,744,54,560,14,18.9
2019-07-31 11:00:42,A81758FFFE03580A,519,53,549,13,18.6
2019-07-31 10:45:42,A81758FFFE03580A,552,53,566,11,18.5
2019-07-31 10:30:42,A81758FFFE03580A,802,56,579,13,18.5
2019-07-31 10:00:42,A81758FFFE03580A,674,56,636,13,18.1
2019-07-31 09:45:42,A81758FFFE03580A,703,57,631,10,17.9
2019-07-31 09:30:42,A81758FFFE03580A,581,59,655,8,17.7
2019-07-31 09:15:42,A81758FFFE03580A,465,57,688,15,17.4
2019-07-31 09:00:42,A81758FFFE03580A,692,60,716,11,17.2
2019-07-31 08:00:43,A81758FFFE03580A,707,63,838,17,16.5
2019-07-31 07:45:43,A81758FFFE03580A,785,63,878,15,16.2
2019-07-31 07:30:43,A81758FFFE03580A,917,65,921,16,16.2
2019-07-31 07:15:43,A81758FFFE03580A,645,65,928,16,15.9
2019-07-31 07:00:43,A81758FFFE03580A,544,65,845,11,15.7
2019-07-31 06:15:43,A81758FFFE03580A,797,66,629,4,15.2
2019-07-31 06:00:43,A81758FFFE03580A,634,66,492,14,15.3
2019-07-31 05:45:43,A81758FFFE03580A,763,68,542,18,15.4
2019-07-31 05:30:43,A81758FFFE03580A,637,69,517,19,15.2
2019-07-31 05:00:43,A81758FFFE03580A,622,72,356,9,14.7
2019-07-31 04:45:43,A81758FFFE03580A,449,70,341,23,14.6
2019-07-31 04:30:43,A81758FFFE03580A,698,71,312,20,14.8
