Timestamp,AirTemperature,CloudAmount,DewPointTemperature,GustSpeed,HorizontalVisibility,PrecipitationIntensity,Pressure,RelativeHumidity,SnowDepth,WindDirection,WindSpeed
2019-07-31 23:50:00,6.7,3,5.6,2.8,48830,0,1016.2,93,-1,52,2.5
2019-07-31 23:40:00,6.6,5,5.3,2.3,46990,0,1016.2,91,-1,53,2
2019-07-31 23:30:00,7.2,3,5.5,1.9,50000,0,1016.2,89,-1,56,1.6
2019-07-31 23:20:00,7.9,1,6.4,2.2,50000,0,1016.1,90,-1,50,1.7
2019-07-31 23:10:00,7.8,0,6,2.7,50000,0,1016.1,89,-1,37,2.1
2019-07-31 23:00:00,7.7,0,6.2,2.8,48060,0,1016.1,90,-1,32,2.3
2019-07-31 22:50:00,7.4,0,5.6,3.1,45040,0,1016.1,88,-1,33,2.5
2019-07-31 22:40:00,7.9,0,5.7,2.9,50000,0,1016.1,86,-1,36,2.3
2019-07-31 22:30:00,8.1,0,5.7,2.1,48940,0,1016,85,-1,47,1.6
2019-07-31 22:20:00,8.6,0,5.8,2.3,50000,0,1015.9,82,-1,48,2
2019-07-31 22:10:00,8.9,1,6.2,2.4,50000,0,1015.9,83,-1,43,2
2019-07-31 22:00:00,9,1,6,2.4,46420,0,1015.9,82,-1,43,2
2019-07-31 21:50:00,9.4,1,6.2,2.2,32510,0,1015.9,81,-1,45,1.8
2019-07-31 21:40:00,9.8,1,6.3,2.3,48520,0,1015.8,79,-1,44,2
2019-07-31 21:30:00,10,1,6.3,2.6,50000,0,1015.7,77,-1,45,2.2
2019-07-31 21:20:00,10.4,0,6.3,2.6,50000,0,1015.6,76,-1,48,2.2
2019-07-31 21:10:00,10.6,0,6.6,2.7,50000,0,1015.7,76,-1,60,2.2
2019-07-31 21:00:00,10.3,0,6.7,2.9,49140,0,1015.7,79,-1,56,2.2
2019-07-31 20:50:00,11.4,0,6,4.1,50000,0,1015.6,70,-1,10,2.8
2019-07-31 20:40:00,10.9,0,5.8,4.3,50000,0,1015.5,71,-1,3,3.2
2019-07-31 20:30:00,11.5,0,5.9,4.3,50000,0,1015.4,68,-1,2,3.4
2019-07-31 20:20:00,11.8,0,6,4.2,50000,0,1015.4,67,-1,360,3.4
2019-07-31 20:10:00,12.6,0,6,4.5,49470,0,1015.2,64,-1,2,3.6
2019-07-31 20:00:00,12.7,0,6.2,4.7,50000,0,1015.1,64,-1,1,3.4
