herd name;date;avg days in milk;number of cows;amount of produced milk in total;daily yield;count of milking events;count of passings;count of failures;separately milked amount;fat percent;protein percent;Lactose indication;average cell count
HAMK Mustiala opm;2019-11-23;173;61;1823.9;29.9;2.8;4.5;0;85;3.93;3.28;4.64;134
HAMK Mustiala opm;2019-11-22;172;61;1806.2;29.6;2.8;4.1;0;98.9;3.89;3.29;4.64;129
HAMK Mustiala opm;2019-11-21;173;61;1805;29.6;2.8;3.9;0.1;107.8;3.9;3.31;4.64;119
HAMK Mustiala opm;2019-11-20;172;61;1828.8;30;2.8;4;0;82.4;4;3.31;4.63;124
HAMK Mustiala opm;2019-11-19;174;60;1855.5;30.9;2.7;3.6;0.1;61.3;4.01;3.33;4.64;120
HAMK Mustiala opm;2019-11-18;173;60;1759.2;29.3;2.4;1.5;0;;3.96;3.33;4.64;119
HAMK Mustiala opm;2019-11-17;171;62;1889.2;30.5;2.6;2.7;0.1;21.7;3.93;3.36;4.62;119
HAMK Mustiala opm;2019-11-16;166;64;1779.9;27.8;2.1;1.1;0.1;21.4;3.86;3.42;4.58;119
HAMK Mustiala opm;2019-11-15;165;64;1866.9;29.2;2.4;3.6;0.1;69.5;3.87;3.38;4.57;153
HAMK Mustiala opm;2019-11-14;164;64;1880;29.4;2.5;2;0;40.6;3.84;3.31;4.57;112
HAMK Mustiala opm;2019-11-13;163;64;1926.1;30.1;2.6;3.2;0.1;27.1;3.87;3.33;4.57;120
HAMK Mustiala opm;2019-11-12;171;65;1918.5;29.5;2.5;2.7;0.1;43.8;3.86;3.35;4.57;110
HAMK Mustiala opm;2019-11-11;170;65;1966.2;30.2;2.7;2.3;0.1;78.7;3.97;3.36;4.57;138
HAMK Mustiala opm;2019-11-10;162;63;1983.3;31.5;2.7;2.7;0.1;25.6;3.96;3.35;4.57;110
HAMK Mustiala opm;2019-11-09;170;64;1917.7;30;2.5;2.1;0.1;57.2;3.98;3.38;4.58;110
HAMK Mustiala opm;2019-11-08;169;64;1851.7;28.9;2.4;1.6;0.1;127.8;3.95;3.37;4.57;119
HAMK Mustiala opm;2019-11-07;168;64;1935;30.2;2.7;2.7;0;112.5;4;3.34;4.57;115
HAMK Mustiala opm;2019-11-06;170;63;1883.7;29.9;2.7;3.5;0.1;130.3;4.01;3.33;4.57;123
HAMK Mustiala opm;2019-11-05;179;62;1795.4;29;2.8;2.7;0.1;96.7;3.81;3.29;4.56;125
HAMK Mustiala opm;2019-11-04;178;62;1923.2;31;2.8;1.9;0;79.8;4.01;3.32;4.58;179
